"song_title","register","year","points","peak_rank"
"Transistor Sister",6,1961,312,35
"Bewildered",8,1961,310,40
"If I Didn't Care",7,1961,310,30
"The Majestic",6,1961,306,36
"Buzz Buzz A-Diddle-It",7,1961,298,51
"School Is In",7,1961,298,28
"Rainin' In My Heart",4,1961,285,34
"Good, Good Lovin'",7,1961,277,43
"Wild In The Country",5,1961,277,26
"Every Breath I Take",7,1961,276,42
"Under The Moon Of Love",6,1961,267,46
"The Bridge Of Love",3,1961,261,50
"Feel It",7,1961,257,56
"Soothe Me",7,1961,255,42
"Walkin' With My Angel",5,1961,254,53
"Bright Lights Big City",5,1961,253,58
"I Wake Up Crying",8,1961,252,59
"Sleepy-Eyed John",7,1961,251,54
"I Pity The Fool",8,1961,245,46
"First Taste Of Love",8,1961,242,53
"Havin' Fun",6,1961,241,42
"Everybody's Gotta Pay Some Dues",7,1961,240,52
"I'll Be Seeing You",6,1961,238,58
"Three Steps From The Altar",7,1961,236,58
"It's Your World",5,1961,228,51
"Turn Around, Look At Me",5,1961,222,62
"Music, Music, Music",7,1961,221,54
"The Second Time Around",6,1961,220,50
"Pony Express",6,1961,210,60
"Big Big World",5,1961,199,58
"Ready For Your Love",7,1961,198,42
"Watch Your Step",8,1961,195,51
"Lonely Street",4,1961,188,57
"For Sentimental Reasons",7,1961,170,60
"In My Heart",6,1961,170,51
"Jimmy Martinez",5,1961,163,51
"Muskrat Ramble",6,1961,160,54
"Young Boy Blues",6,1961,152,66
"Merry-Go-Round",7,1961,151,61
"The Very Thought Of You",7,1961,146,61
"Don't Cry No More",7,1961,145,71
"Baby, You're Right",8,1961,140,49
"I've Got News For You",7,1961,132,66
"Te-Ta-Te-Ta-Ta",7,1961,131,53
"The Comancheros",4,1961,130,71
"Mr. Happiness",6,1961,129,57
"Hully Gully Again",7,1961,127,54
"How Many Tears",5,1961,120,63
"Trees",6,1961,120,62
"More Than I Can Say",5,1961,115,61
"Miss Fine",5,1961,110,69
"Tears From An Angel",8,1961,107,77
"Nothing But Good",8,1961,106,49
"Lonesome Number One",5,1961,105,59
"I Cried My Last Tear",5,1961,102,69
"Keep On Dancing",6,1961,102,66
"Leave My Kitten Alone",7,1961,102,73
"Close Together",5,1961,101,68
"Granada",6,1961,94,64
"Room Full Of Tears",7,1961,91,72
"Never, Never",7,1961,89,74
"A Certain Girl",5,1961,87,71
"Daydreams",5,1961,86,70
"The Blizzard",4,1961,83,62
"What Would You Do?",3,1961,83,73
"Tender Years",6,1961,80,76
"Hold Back The Tears",7,1961,80,78
"Twistin' U.S.A.",7,1961,76,68
"If",9,1961,72,82
"Dedicated To The One I Love",7,1961,68,81
"Big River, Big Man",3,1961,64,82
"Tennessee Flat-Top Box",6,1961,60,84
"Chills And Fever",4,1961,60,72
"I Hear You Knocking",6,1961,58,67
"Top Forty, News, Weather And Sports",5,1961,58,81
"Black Land Farmer",5,1961,56,82
"Summertime",5,1961,50,78
"Pop Goes The Weasel",5,1961,48,85
"Here In My Heart",6,1961,45,86
"Donald Where's Your Troosers?",5,1961,43,77
"Lonesome Whistle Blues",7,1961,41,88
"Here Comes The Night",5,1961,37,81
"I'll Just Have A Cup Of Coffee (Then I'll Go)",2,1961,32,84
"I Told You So",7,1961,32,85
"Come Along",5,1961,32,83
"I'm Gonna Move To The Outskirts Of Town",5,1961,31,84
"Kissin Game",8,1961,30,82
"Milord",7,1961,28,88
"I Remember",7,1961,28,86
"Losing Your Love",2,1961,24,89
"And The Heavens Cried",5,1961,22,84
"Lonely Life",8,1961,21,80
"Memphis",5,1961,20,90
"The Mess Around",7,1961,18,89
"Driving Wheel",8,1961,17,85
"Kokomo",5,1961,17,92
"Wishin' On A Rainbow",5,1961,16,91
"(How Can I Write On Paper) What I Feel In My Heart",3,1961,15,92
"Take My Love (I Want To Give It All To You)",8,1961,14,87
"You've Got To Love Her With A Feeling",7,1961,12,93
"Is There Something On Your Mind",4,1961,12,89
"Oh Lonesome Me",5,1961,12,93
"Tonite, Tonite",7,1961,6,95
"Johnny Willow",7,1961,5,96
"I Love You Yes I Do",5,1961,4,98
"Make Believe Wedding",6,1961,4,98
"Broken Hearted",8,1961,4,97
"What About Me",5,1961,1,100
"Monster Mash",3,1962,2405,1
"Breaking Up Is Hard To Do",9,1962,2206,1
"Do You Love Me",9,1962,2104,3
"Limbo Rock",7,1962,1759,2
"Big Girls Don't Cry",8,1962,1406,1
"Return To Sender",7,1962,1368,2
"Roses Are Red (My Love)",8,1962,1309,1
"Go Away Little Girl",4,1962,1299,1
"Bobby's Girl",5,1962,1280,3
"Hey! Baby",7,1962,1212,1
"Up On The Roof",5,1962,1206,5
"Sherry",10,1962,1197,1
"Palisades Park",7,1962,1192,3
"Wolverton Mountain",4,1962,1146,6
"It Keeps Right On A-Hurtin'",5,1962,1137,3
"Patches",4,1962,1123,6
"Sheila",6,1962,1121,1
"The Night Has A Thousand Eyes",5,1962,1118,3
"Twistin' The Night Away",8,1962,1108,9
"Only Love Can Break A Heart",6,1962,1106,2
"My Dad",3,1962,1088,6
"Surfin' Safari",5,1962,1070,14
"Break It To Me Gently",6,1962,1067,4
"Sealed With A Kiss",5,1962,1059,3
"She Cried",5,1962,1044,5
"Let's Dance",6,1962,996,4
"(Dance With The) Guitar Man",7,1962,996,12
"Theme From Dr. Kildare (Three Stars Will Shine Tonight)",4,1962,994,10
"Twist And Shout",9,1962,994,17
"Lover Please",5,1962,978,7
"Young World",3,1962,974,5
"Speedy Gonzales",6,1962,970,6
"Hotel Happiness",5,1962,956,3
"Crying In The Rain",8,1962,954,6
"Venus In Blue Jeans",5,1962,945,7
"Shout! Shout! (Knock Yourself Out)",6,1962,940,6
"What's Your Name",7,1962,933,7
"Having A Party",7,1962,914,17
"From A Jack To A King",5,1962,909,6
"Popeye (The Hitchhiker)",7,1962,907,10
"It's Up To You",5,1962,906,6
"Gina",6,1962,891,6
"Things",6,1962,883,3
"(The Man Who Shot) Liberty Valance",6,1962,882,4
"You Belong To Me",5,1962,881,7
"Dream Baby (How Long Must I Dream)",6,1962,880,4
"Snap Your Fingers",4,1962,870,8
"Lovers Who Wander",7,1962,867,3
"Cindy's Birthday",7,1962,854,8
"I Saw Linda Yesterday",5,1962,835,14
"She's Not You",4,1962,831,5
"Half Heaven - Half Heartache",6,1962,821,12
"Teen Age Idol",4,1962,813,5
"Dear One",5,1962,811,11
"Loop De Loop",6,1962,810,4
"Her Royal Majesty",5,1962,809,6
"Little Town Flirt",8,1962,807,12
"The Cha-Cha-Cha",5,1962,806,10
"I Remember You",4,1962,797,5
"Twistin' Matilda (and the channel)",7,1962,791,22
"P.T. 109",4,1962,784,8
"Little Diane",7,1962,783,8
"Twist, Twist Senora",7,1962,776,9
"Love Came To Me",5,1962,771,10
"I'll Never Dance Again",6,1962,765,14
"Pepino The Italian Mouse",6,1962,759,5
"He's Sure The Boy I Love",5,1962,757,11
"Where Have All The Flowers Gone",5,1962,756,21
"Nothing Can Change This Love",8,1962,746,12
"I Wish That We Were Married",7,1962,741,16
"That's Old Fashioned (That's The Way Love Should Be)",7,1962,727,9
"Don't Play That Song (You Lied)",6,1962,725,11
"Chip Chip",7,1962,725,10
"I Need Your Loving",9,1962,711,20
"Dancin' Party",8,1962,702,12
"Come Back Silly Girl",4,1962,702,17
"Devil Woman",6,1962,687,16
"Rain Rain Go Away",5,1962,686,12
"Come On Little Angel",7,1962,686,28
"You Better Move On",5,1962,680,24
"Shame On Me",5,1962,678,23
"My Boomerang Won't Come Back",7,1962,676,21
"Please Don't Ask About Barbara",5,1962,666,15
"Shutters And Boards",5,1962,664,24
"Follow That Dream",5,1962,662,15
"Village Of Love",9,1962,656,22
"Sharing You",5,1962,650,15
"Rumors",6,1962,648,12
"Hully Gully Baby",8,1962,645,25
"What Kind Of Love Is This",5,1962,642,18
"Any Day Now (My Wild Beautiful Bird)",7,1962,641,23
"So This Is Love",6,1962,630,21
"A Wonderful Dream",9,1962,618,22
"Ginny Come Lately",6,1962,610,21
"Your Nose Is Gonna Grow",7,1962,600,14
"Ruby Ann",5,1962,589,18
"The Cinnamon Cinder (It's A Very Nice Dance)",6,1962,588,25
"Point Of No Return",6,1962,582,21
"Fortuneteller",5,1962,579,41
"Jamie",9,1962,569,30
"Shadrack",5,1962,566,19
"You Win Again",5,1962,566,22
"Hide & Go Seek, Part I",9,1962,559,33
"The Crowd",7,1962,552,26
"Bristol Twistin' Annie",8,1962,548,27
"Night Train",7,1962,539,35
"Workin' For The Man",6,1962,532,33
"Make It Easy On Yourself",5,1962,521,20
"Little Black Book",4,1962,506,29
"Your Cheating Heart",6,1962,505,29
"Call Me Mr. In-Between",5,1962,502,19
"Punish Her",5,1962,494,20
"Remember Then",6,1962,480,24
"Don't Go Near The Indians",4,1962,477,17
"Little Bitty Pretty One",5,1962,474,25
"Let's Kiss And Make Up",6,1962,473,38
"When My Little Girl Is Smiling",7,1962,465,28
"Little Red Rented Rowboat",3,1962,451,23
"Trouble Is My Middle Name",5,1962,443,33
"The Ballad Of Jed Clampett",3,1962,440,44
"Hide 'Nor Hair",5,1962,436,20
"Warmed Over Kisses (Left Over Love)",5,1962,429,25
"That Stranger Used To Be My Girl",6,1962,429,28
"Cry To Me",7,1962,426,44
"(Do The New) Continental",7,1962,405,37
"Born To Lose",6,1962,397,41
"I Love You The Way You Are",5,1962,396,38
"Seven Day Weekend",7,1962,393,27
"King Of The Whole Wide World",5,1962,386,30
"That's Life (That's Tough)",7,1962,386,51
"Hey, Let's Twist",5,1962,383,20
"You Can't Judge A Book By The Cover",6,1962,374,48
"Steel Men",4,1962,359,41
"Lemon Tree",4,1962,356,35
"Ten Little Indians",5,1962,350,49
"If A Woman Answers (Hang Up The Phone)",4,1962,339,35
"Mary's Little Lamb",5,1962,328,39
"Patti Ann",6,1962,328,43
"Pop-Eye",7,1962,320,51
"I Don't Love You No More (I Don't Care About You)",7,1962,316,47
"Stubborn Kind Of Fellow",8,1962,312,46
"Coney Island Baby",6,1962,310,51
"Lovesick Blues",7,1962,303,44
"(I was) Born To Cry",8,1962,302,42
"Papa-Oom-Mow-Mow",8,1962,300,48
"Twistin' With Linda",8,1962,298,54
"Mary Ann Regrets",5,1962,292,39
"Annie Get Your Yo-Yo",5,1962,287,51
"I Keep Forgettin'",5,1962,238,55
"My Wife Can't Cook",6,1962,237,57
"Boom Boom",4,1962,234,60
"Woman Is A Man's Best Friend",5,1962,226,59
"Meet Me At The Twistin' Place",5,1962,225,63
"The Burning Of Atlanta",3,1962,221,53
"Yield Not To Temptation",5,1962,219,56
"My Real Name",5,1962,207,59
"You Can Run (But You Can't Hide)",8,1962,196,63
"Where Have You Been (All My Life)",5,1962,189,58
"Ecstasy",4,1962,185,56
"Doctor Feel-Good",7,1962,183,66
"I Lost My Baby",7,1962,181,61
"What's Gonna Happen When Summer's Done",5,1962,167,45
"Anna (Go To Him)",6,1962,152,68
"What's The Reason",4,1962,150,71
"Lookin' For A Love",8,1962,147,72
"Somebody Have Mercy",8,1962,140,70
"The Swiss Maid",7,1962,138,64
"If I Should Lose You",5,1962,137,62
"Tennessee",5,1962,137,69
"Down In The Valley",7,1962,137,71
"If You Were A Rock And Roll Record",5,1962,128,67
"What Time Is It?",5,1962,127,67
"The Popeye Waddle",7,1962,117,75
"Surfin",5,1962,105,75
"Careless Love",6,1962,100,60
"Nite Owl",7,1962,91,73
"A Little Too Much",4,1962,89,77
"Good Lover",5,1962,86,77
"Who Will The Next Fool Be",6,1962,78,76
"Scotch And Soda",4,1962,76,81
"Lipstick Traces (On A Cigarette)",5,1962,74,80
"Goodnight, Irene",4,1962,69,79
"A Girl Has To Know",5,1962,68,81
"Reap What You Sow",6,1962,67,79
"Roly Poly",5,1962,62,74
"Too Late To Worry - Too Blue To Cry",3,1962,49,76
"Let Me Be The One",5,1962,46,87
"The Jitterbug",8,1962,44,82
"Adios Amigo",4,1962,43,90
"Mashed Potatoes U.S.A.",8,1962,31,82
"Aw Shucks, Hush Your Mouth",5,1962,31,93
"Mama Sang A Song",5,1962,28,89
"Stranger On The Shore",5,1962,28,73
"Too Bad",8,1962,25,88
"Further More",5,1962,25,91
409,5,1962,25,76
"I Really Don't Want To Know",6,1962,22,93
"Copy Cat",8,1962,21,92
"Ida Jane",6,1962,19,90
"I'm Hanging Up My Heart For You",7,1962,18,85
"Oh! What It Seemed To Be",5,1962,18,91
"It's Magic",7,1962,17,91
"Sweet Little Sixteen",7,1962,16,95
"I'm So Lonesome I Could Cry",5,1962,12,89
"What Did Daddy Do",7,1962,12,94
"I'm On My Way",5,1962,11,90
"Honky-Tonk Man",4,1962,10,96
"The (Bossa Nova) Bird",6,1962,10,97
"I'm Gonna Change Everything",3,1962,7,95
"Bonanza!",4,1962,7,94
"A Sunday Kind Of Love",5,1962,6,95
"Lover Come Back To Me",7,1962,6,95
"You Don't Miss Your Water",9,1962,6,95
"Hail To The Conquering Hero",6,1962,4,97
"Sugar Babe",7,1962,3,99
"Dance With Mr. Domino",5,1962,3,98
"Stardust",5,1962,3,98
"Cry Myself To Sleep",7,1962,2,99
"Popeye Joe",5,1962,2,99
"The John Birch Society",5,1962,2,99
"Night Time",4,1962,1,100
"Surfin' U.S.A.",5,1963,1672,3
"Louie Louie",6,1963,1327,2
"Rhythm Of The Rain",4,1963,1269,3
"Blue Velvet",5,1963,1233,1
"Fingertips - Pt 2",8,1963,1198,1
"Can't Get Used To Losing You",6,1963,1175,2
"Sukiyaki",5,1963,1170,1
"Dominique",4,1963,1157,1
"Forget Him",6,1963,1150,4
"Puff (The Magic Dragon)",6,1963,1149,2
"There! I've Said It Again",6,1963,1147,1
"Deep Purple",8,1963,1137,1
"Walk Like A Man",8,1963,1110,1
"Everybody",8,1963,1106,3
"Surf City",7,1963,1099,1
"You Can't Sit Down",8,1963,1090,3
"Denise",5,1963,1082,10
"If You Wanna Be Happy",4,1963,1077,1
"Surfer Girl",9,1963,1069,7
"It's All Right",7,1963,1058,4
"Ruby Baby",7,1963,1057,2
"Hey Little Cobra",6,1963,1053,4
"Candy Girl",10,1963,1012,3
"The Monkey Time",8,1963,1011,8
"Still",5,1963,1004,8
"Blue On Blue",5,1963,996,3
"Cry Baby",8,1963,995,4
"Two Faces Have I",10,1963,995,6
"In Dreams",9,1963,979,7
"Mean Woman Blues",7,1963,959,5
"Walking The Dog",7,1963,959,10
"Surfin' Bird",4,1963,956,4
"I Wanna Be Around",6,1963,945,14
"Can I Get A Witness",7,1963,930,22
"Wives And Lovers",5,1963,917,14
"Baby Workout",10,1963,911,5
"Pride And Joy",7,1963,911,10
"Those Lazy-Hazy-Crazy Days Of Summer",5,1963,909,6
"Loddy Lo",7,1963,894,12
"What Will My Mary Say",6,1963,889,9
"Midnight Mary",6,1963,876,10
"Ring Of Fire",4,1963,873,17
"(You're the) Devil In Disguise",7,1963,868,3
"For You",5,1963,860,6
"Hooka Tooka",5,1963,859,17
"Judy's Turn To Cry",3,1963,859,5
"What Kind Of Fool (Do You Think I Am)",5,1963,853,9
"Be True To Your School",5,1963,850,6
"Tie Me Kangaroo Down, Sport",4,1963,849,3
"That Sunday, That Summer",6,1963,829,12
"Donna The Prima Donna",7,1963,826,6
"Another Saturday Night",7,1963,820,10
"Painted, Tainted Rose",2,1963,818,15
"Take These Chains From My Heart",5,1963,809,8
"Drag City",7,1963,808,10
"Talk To Me",6,1963,808,11
"Shut Down",5,1963,794,23
"Danke Schoen",8,1963,792,13
"One Fine Day",6,1963,790,5
"Reverend Mr. Black",3,1963,779,8
"Martian Hop",10,1963,778,16
"Abilene",3,1963,777,15
"Detroit City",5,1963,766,16
"Twenty Miles",7,1963,766,15
"Green, Green",5,1963,759,14
"Mecca",6,1963,752,12
"Little Red Rooster",8,1963,734,11
"Don't Think Twice, It's All Right",5,1963,722,9
"Killer Joe",8,1963,710,16
"500 Miles Away From Home",5,1963,703,10
"Honolulu Lulu",5,1963,699,11
"Little Deuce Coupe",9,1963,690,15
"Charms",5,1963,684,13
"Somewhere",5,1963,684,19
"Let's Limbo Some More",7,1963,679,20
"One Broken Heart For Sale",5,1963,678,11
"18 Yellow Roses",4,1963,670,10
"Send Me Some Lovin'",8,1963,658,13
"Linda",7,1963,650,28
"Prisoner Of Love",7,1963,645,18
"Sandy",8,1963,643,21
"Twenty Four Hours From Tulsa",5,1963,641,17
"In My Room",7,1963,629,23
"I (Who Have Nothing)",6,1963,620,29
"Greenback Dollar",4,1963,618,21
"Over The Mountain (Across The Sea)",4,1963,614,21
"On Top Of Spaghetti",4,1963,613,14
"Birdland",7,1963,609,12
"True Love Never Runs Smooth",5,1963,609,21
"Little Band Of Gold",4,1963,607,21
"Need To Belong",8,1963,597,31
"I Wonder What She's Doing Tonight",6,1963,591,21
"Only In America",6,1963,590,25
"That Lucky Old Sun",6,1963,586,20
"Harry The Hairy Ape",5,1963,580,17
"String Along",5,1963,567,25
"I'll Take You Home",7,1963,564,25
"Blue Bayou",5,1963,563,29
"Tom Cat",6,1963,557,20
"Six Days On The Road",4,1963,551,32
"Ain't That A Shame!",7,1963,542,22
"This Little Girl",7,1963,517,21
"Hitch Hike",8,1963,514,30
"Till Then",5,1963,502,20
"Baby Don't You Weep",6,1963,483,30
"No One",7,1963,479,21
"For Your Precious Love",8,1963,478,26
"Falling",6,1963,477,22
"Swinging On A Star",6,1963,471,38
"Love (Makes the World Go 'round)",4,1963,471,26
"Tell Him I'm Not Home",6,1963,469,42
"Don't Set Me Free",5,1963,451,20
"If You Need Me",8,1963,446,37
"When A Boy Falls In Love",8,1963,428,44
"Without Love (There Is Nothing)",7,1963,422,29
"Marlena",7,1963,422,36
"Saturday Night",5,1963,390,29
"Harlem Shuffle",6,1963,386,44
"Shake A Tail Feather",7,1963,385,51
"(I Love You) Don't You Forget It",5,1963,370,39
"It's Too Late",8,1963,370,49
"Every Day I Have To Cry",7,1963,369,46
"Stewball",5,1963,365,35
"Tips Of My Fingers",6,1963,365,45
"The Marvelous Toy",3,1963,362,43
"Why Don't You Believe Me",7,1963,362,37
"Long Tall Texan",8,1963,360,51
"Workout Stevie, Workout",7,1963,350,33
"Be True To Yourself",5,1963,347,34
"The Matador",3,1963,328,44
"Hot Pastrami With Mashed Potatoes - Part I",7,1963,314,36
"New Mexican Rose",8,1963,314,36
"Here I Stand",6,1963,303,51
"You're Good For Me",6,1963,293,49
"Groovy Baby",7,1963,264,55
"How Can I Forget",6,1963,251,57
"Come Go With Me",8,1963,245,48
"Gypsy Woman",4,1963,241,62
"I Got A Woman",7,1963,241,49
"Pain In My Heart",7,1963,237,61
"Betty In Bermudas",8,1963,229,50
"Surf Party",5,1963,225,55
"Ally Ally Oxen Free",5,1963,222,61
"8 X 10",5,1963,215,53
"How Many Teardrops",10,1963,214,46
"Sun Arise",5,1963,214,61
"Be Mad Little Girl",4,1963,206,64
"Patty Baby",7,1963,206,65
"I'm Confessin' (That I Love You)",3,1963,195,58
"Let's Stomp",7,1963,194,57
"Heart",6,1963,183,64
"These Foolish Things",7,1963,163,55
"Come Dance With Me",5,1963,162,76
"My Babe",5,1963,155,75
"Don't Let Her Be Your Baby",8,1963,151,64
"Unchained Melody",3,1963,151,66
"They Remind Me Too Much Of You",5,1963,150,53
"I'm The One Who Loves You",8,1963,150,73
"Can't Nobody Love You",7,1963,146,66
"Sue's Gotta Be Mine",8,1963,144,71
"Call Me Irresponsible",4,1963,143,78
"Man's Temptation",6,1963,127,71
"Strange Feeling",6,1963,125,70
"Rat Race",7,1963,117,71
"Soon (I'll Be Home Again)",7,1963,115,77
"Begging To You",4,1963,112,74
"The Last Leaf",5,1963,111,60
"Two-Ten, Six-Eighteen (Doesn't Anybody Know My Name)",4,1963,95,78
"Land Of 1000 Dances",7,1963,92,77
"I Can't Stop Loving You",5,1963,81,77
"Any Other Way",6,1963,69,81
"From Me To You",5,1963,62,77
"Heart! (I Hear You Beating)",8,1963,62,82
"Funny Man",5,1963,43,81
"How Can I Forget",6,1963,39,85
"The Folk Singer",7,1963,39,84
"Gone",7,1963,37,88
"These Arms Of Mine",7,1963,29,85
"Crossfire Time",8,1963,28,92
"That's The Only Way",7,1963,25,88
"Shy Girl",5,1963,23,91
"It Won't Be This Way (Always)",5,1963,22,89
"I'm Down To My Last Heartbreak",6,1963,18,95
"I'm Not A Fool Anymore",6,1963,16,92
"Old Enough To Love",5,1963,13,94
"Guilty",2,1963,12,91
"Stop Monkeyin' Aroun'",8,1963,12,94
"Baby, What's Wrong",5,1963,8,93
"The Minute You're Gone",4,1963,6,95
"Hello Jim",5,1963,4,97
"Baby, We've Got Love",7,1963,3,98
"True Love",3,1963,3,98
"River's Invitation",3,1963,2,99
"Baby, You're Driving Me Crazy",5,1963,1,100
"Make The World Go Away",6,1963,1,100
"If You Can't Rock Me",5,1963,1,100
"Hello, Dolly!",4,1964,1840,1
"Twist And Shout",8,1964,1707,2
"I Want To Hold Your Hand",7,1964,1402,1
"She Loves You",7,1964,1335,1
"You've Lost That Lovin' Feelin'",6,1964,1334,1
"Oh, Pretty Woman",5,1964,1314,1
"Mr. Lonely",5,1964,1290,1
"I Get Around",9,1964,1282,1
"Everybody Loves Somebody",4,1964,1273,1
"Last Kiss",4,1964,1234,2
"She's Not There",6,1964,1191,2
"A Hard Day's Night",7,1964,1157,1
"Do Wah Diddy Diddy",7,1964,1145,1
"Little Children",5,1964,1133,7
"Goin' Out Of My Head",8,1964,1099,6
"Under The Boardwalk",6,1964,1093,4
"Love Potion Number Nine",7,1964,1082,3
"Come A Little Bit Closer",5,1964,1076,3
"Love Me Do",7,1964,1076,1
"Suspicion",4,1964,1070,3
"Dawn (Go Away)",9,1964,1065,3
"Glad All Over",7,1964,1059,6
"Rag Doll",10,1964,1056,1
"Dead Man's Curve",6,1964,1047,8
"It Hurts To Be In Love",7,1964,1040,7
"Please Please Me",7,1964,1035,3
"A World Without Love",7,1964,1014,1
"You Really Got Me",6,1964,1014,7
"The Jerk",9,1964,1011,7
"I Feel Fine",7,1964,1000,1
"How Sweet It Is To Be Loved By You",8,1964,990,6
"Keep Searchin' (We'll Follow The Sun)",7,1964,977,9
"G.T.O.",5,1964,962,4
"Time Is On My Side",6,1964,959,6
"Memphis",4,1964,951,2
"White On White",7,1964,950,9
"Have I The Right?",4,1964,945,5
"Bits And Pieces",7,1964,928,4
"Um, Um, Um, Um, Um, Um",8,1964,919,5
"The Little Old Lady (From Pasadena)",5,1964,918,3
"Don't Let The Sun Catch You Crying",5,1964,917,4
"A Summer Song",4,1964,908,7
"I'm Into Something Good",7,1964,899,13
"Can't Buy Me Love",7,1964,897,1
"Sha La La",5,1964,892,12
"I'm Gonna Be Strong",5,1964,889,9
"Do You Want To Know A Secret",8,1964,888,2
"Keep On Pushing",9,1964,883,10
"All Day And All Of The Night",7,1964,882,7
"Baby I Need Your Loving",8,1964,874,11
"Navy Blue",6,1964,868,6
"Diane",7,1964,868,10
"Fun, Fun, Fun",9,1964,860,5
"Little Honda",6,1964,850,9
"My Love, Forgive Me (Amore, Scusami)",5,1964,846,16
"Chug-A-Lug",5,1964,844,9
"See The Funny Little Clown",3,1964,839,9
"Because",6,1964,836,3
"Any Way You Want It",5,1964,823,14
"Can't You See That She's Mine",7,1964,809,4
"Willow Weep For Me",4,1964,808,15
"Funny (How Time Slips Away)",7,1964,807,13
"Hold What You've Got",7,1964,805,5
"The Way You Do The Things You Do",8,1964,802,11
"California Sun",6,1964,801,5
"Dance, Dance, Dance",9,1964,799,8
"It's Over",7,1964,796,9
"Ronnie",9,1964,793,6
"The Door Is Still Open To My Heart",5,1964,790,6
"Dang Me",5,1964,784,7
"Mountain Of Love",4,1964,781,9
"I'm So Proud",8,1964,777,14
"Don't Throw Your Love Away",5,1964,755,16
"Hi-Heel Sneakers",7,1964,754,11
"How Do You Do It?",6,1964,752,9
"Steal Away",7,1964,740,17
"Haunted House",6,1964,740,11
"I Saw Her Standing There",7,1964,739,14
"She's A Woman",8,1964,738,4
"Needles And Pins",5,1964,729,13
"When I Grow Up (To Be A Man)",8,1964,728,9
"Try It Baby",7,1964,714,15
"You Must Believe Me",8,1964,712,15
"Stay",9,1964,707,16
"Good Times",7,1964,697,11
"You're A Wonderful One",6,1964,696,15
"Talking About My Baby",8,1964,694,12
"My Heart Belongs To Only You",5,1964,693,9
"In The Misty Moonlight",5,1964,693,19
"I'm On The Outside (Looking In)",7,1964,693,15
"Ain't That Loving You Baby",6,1964,691,16
"Tobacco Road",6,1964,690,14
"Let's Lock The Door (And Throw Away The Key)",6,1964,679,11
